GeneID	condition_X_Ave	condition_Y_Ave	log2FoldChange	padj
cCluster_1	11129.0565246578	58.4705867441048	-7.5512305351742	0
cCluster_10	597.391207978618	549.105614200449	-0.122755647548566	0.679845057071393
cCluster_1000	909.79775180523	258.002062997019	-1.81536854745046	6.42036515275559e-07
cCluster_10004	388.234462768785	564.88673884555	0.540582608231297	0.0277064181502344
cCluster_1001	20022.9560682255	47.2523939416489	-8.75798554948438	2.14865941412504e-226
cCluster_10011	982.054805951428	869.055317124848	-0.177128353265977	0.445008656441252
cCluster_10012	4701.58249446569	1460.79078885094	-1.68552229447207	1.92856120390457e-14
cCluster_10013	3313.72758961293	200.490112986595	-4.04182751548765	2.32555670422258e-42
cCluster_10014	637.140134006479	132.380047399865	-2.26620624038803	5.11548203697628e-07
cCluster_10015	2148.22532683245	2851.31339125861	0.408312158005351	0.000327603364077125
cCluster_10016	10144.7548704482	3138.30456903462	-1.69294608725002	3.33075121109851e-64
cCluster_10017	53.0179628921483	175.120775391735	1.7219740632356	0.00231422678324652
cCluster_1002	906.416616936912	2811.01879490944	1.63250117147744	7.04249060087043e-31
cCluster_10020	14.5664168930498	62.1776526959702	2.09264232134604	0.0266333202812343
cCluster_10022	1528.80890043227	2224.37255041687	0.540799938023733	7.13503913032053e-06
cCluster_10025	4497.29563126293	174.548272832536	-4.68820468679026	1.69825377140657e-215
cCluster_10030	14.6746001113773	62.9993413248386	2.10271305539932	0.0137879310513538
cCluster_10033	111.926070647063	275.881292655326	1.30066701576395	0.0100152654590925
cCluster_10034	1020.16848404104	1764.49934159306	0.790127085152709	1.85947916712968e-08
cCluster_1004	29.4032918319185	383.403532947542	3.7056084826282	9.95301741601211e-15
cCluster_10040	77.6196011718247	577.32984308231	2.89738857286575	4.98038345705851e-06
cCluster_10041	2158.82226028363	141.711452770955	-3.92712346281886	1.46280635472207e-116
cCluster_10042	1789.61718145949	45.0154952106746	-5.31192444254555	0.0904011263916882
cCluster_10043	10306.1295659758	15448.3631605601	0.583801163433908	6.21026503868936e-05
cCluster_10046	1125.9930653336	1461.89816453868	0.376909922234889	0.253594265186921
cCluster_10048	2894.20165063641	145.538378196676	-4.3188636236081	7.62885075277392e-133
cCluster_10049	5331.16475862608	599.231833673015	-3.1518536116169	1.56956450912337e-163
cCluster_10051	158.15430870241	269.393465836321	0.768266823083621	0.0290153415933789
cCluster_10052	490.165266792718	1516.0702485278	1.6285980227461	7.87845882188705e-18
cCluster_10056	244215.823012218	423655.366361191	0.794725918157568	8.25530919816655e-14
cCluster_10062	4351.16134086704	8077.54477516547	0.892561995480395	0.000317872493296116
cCluster_10065	2170.40616095426	2587.57844210343	0.253606501566155	0.0323909363224275
cCluster_10066	0	0	NA	NA
cCluster_10067	143.195932290714	183.679912413867	0.359226265903459	0.59926096751285
cCluster_10069	1467.83701521955	3.64240265395901	-8.55400469607048	1.69454385928114e-51
cCluster_1007	1941.58343215315	2996.68248970153	0.626237310098725	2.47914717618762e-05
cCluster_10071	377.542664353776	239.489597764689	-0.655836063956629	0.038303753043934
cCluster_10072	0	442.564636111743	10.8126462514132	2.62014054980056e-12
cCluster_10073	0	212.398822209147	9.75375652774195	2.56815014403237e-09
cCluster_10075	9.53507864965378	187.086526403196	4.30475220371193	7.39765735900826e-08
cCluster_10076	5100.43714243207	8458.39940562742	0.729473897242083	8.71464316142308e-10
cCluster_10077	0	0	NA	NA
cCluster_10078	163.719903910194	1.97431525626751	-6.28967456511382	5.26347500552363e-11
cCluster_10079	301.086442074555	1253.19229370487	2.05753551852461	3.07397676617933e-05
cCluster_1008	826.003410879154	646.630642841432	-0.352368705193132	0.163819006545372
cCluster_10080	35.9766502320649	0	-8.05234859157502	0.118399681679332
cCluster_10082	1.92732054814634	83.0563432550884	5.40020707579509	0.0002927359489531
cCluster_10084	17583.448907025	9870.73319084495	-0.83300455755239	2.09326367918251e-28
cCluster_10086	0	39.8096216148823	7.33809834250606	0.155895245677628
cCluster_10091	3870.47613212573	5786.11314338783	0.579729025757048	1.14096256917563e-07
cCluster_10092	497.576635839319	222.510117438196	-1.16156422187054	0.000329586932704351
cCluster_10093	489.989673710728	494.408602319075	0.0118911052740002	0.967809355478433
cCluster_10094	753.834562569536	1144.17196294022	0.601722590397829	0.00055629885099962
cCluster_10096	9202.50051596235	9711.97462039516	0.0774782773636151	0.45849521341026
cCluster_10097	3159.47617307989	6551.09439392354	1.05176440305178	2.2275135284407e-11
cCluster_101	235.672385783157	1102.1083539634	2.22655285221488	1.37325389667001e-12
cCluster_10103	837.324331222378	1625.03401561787	0.957052858056797	4.28092103415283e-09
cCluster_10104	6.965317918792	34.9233732827046	2.32955111342974	0.334741112135513
cCluster_10105	4764.06228560774	225.985085951349	-4.39249509118964	1.05823689817066e-129
cCluster_10106	6609.55844470898	323.000429718081	-4.35115568317334	5.75515915758514e-55
cCluster_10108	10555.0878020382	244.012576449382	-5.4291844091722	2.27255413109731e-116
cCluster_10109	11527.8446917496	76.1405834906942	-7.25869994653651	1.89743185489901e-132
cCluster_10111	183.702959438036	209.779719586774	0.192701415025955	0.636970608403479
cCluster_10112	59.7128227651215	77.4567139758179	0.377555118813582	0.668947009733304
