GeneID	condition_X_Ave	condition_Y_Ave	log2FoldChange	padj
cCluster_21452	1014.00075436496	1013.08298196414	-0.00121653361060294	0.993619474419726
cCluster_21455	40693.4682245823	3101.04224629449	-3.71418913554196	4.53986131745609e-190
cCluster_21456	1581.84156849391	934.146445241608	-0.759232961688551	3.41526842644941e-08
cCluster_21458	4399.75805123925	3194.70774482725	-0.461868722668027	0.000103138192263065
cCluster_21460	226.243109222071	805.243806495459	1.83311820724655	1.91444490314951e-12
cCluster_21466	37.7093556606462	831.225847695128	4.46292898237752	6.09452140150701e-57
cCluster_21467	107.45143310835	4049.3565899827	5.23121040411275	4.58238349783446e-157
cCluster_2147	38.3471933781818	481.331899292481	3.65109606143261	4.11994909489504e-30
cCluster_21470	0	849.058902652897	11.8890125599049	1.39363896778587e-15
cCluster_21472	6993.99622212138	8449.59058396682	0.272557518364486	2.14903529312776e-05
cCluster_21476	149.039914041434	5280.01551799926	5.14616962802668	3.1897901068913e-05
cCluster_21477	203.618798299864	915.51273061705	2.1700427750877	1.94272191364833e-10
cCluster_21478	351.401355894139	1757.98308063728	2.32218927235593	4.48330880077513e-60
cCluster_21480	0	265.228417991353	10.2101121083646	7.5329686524646e-11
cCluster_21484	7614.24678501922	7058.42176651181	-0.109510137116284	0.356455811173263
cCluster_21485	15887.7792013806	22755.715730549	0.518196096291301	1.02241131777609e-13
cCluster_21487	44.3812112735574	529.039932120723	3.5755687094584	2.5966857444807e-33
cCluster_21489	2909.35563108146	2688.05379327608	-0.11449158420191	0.197556998895603
cCluster_2149	5856.04655468559	1856.2947123163	-1.65767344192269	7.99637218550766e-54
cCluster_21490	310.745409240942	688.286164681993	1.14606537062662	4.23064605311979e-06
cCluster_21492	64.1606928880675	509.653781136203	2.99120531209468	7.15953576406633e-16
cCluster_21493	4115.25272536031	6253.85520239464	0.603575694378647	4.02331484406047e-12
cCluster_21497	3954.70933729401	2996.8584712372	-0.400458457099849	0.0549449474461021
cCluster_21498	0	905.353468489533	11.9816820397805	7.45513736570055e-16
cCluster_21499	675.738368202137	2765.78481228309	2.03336802030999	6.86347410097535e-34
cCluster_21500	5307.83787388998	2174.39995288513	-1.28707331351519	1.87544433743912e-22
cCluster_21504	778.137980412628	519.607755217904	-0.581669633357377	0.00115723321114214
cCluster_21505	508.323677274527	1966.94800197016	1.95194585819448	3.36106386287948e-41
cCluster_21507	303.690120122631	624.112898027028	1.03901283287429	0.0106433187236565
cCluster_21508	8627.91170697777	9112.85195248856	0.0787195047053833	0.587586285571591
cCluster_2151	914.145980653706	2421.62109705105	1.4050840067101	8.96032793453702e-39
cCluster_21511	0.58044450420546	2185.00857792267	11.811071090386	5.1361668107349e-16
cCluster_21512	702.821030776191	4480.87411400541	2.6735341966514	3.3373984609464e-84
cCluster_21514	1264.71900020241	1529.42957929551	0.273630312185943	0.108743441840082
cCluster_21515	3938.1516061217	1946.40093744	-1.01698243604049	4.3186006157338e-09
cCluster_21516	413.276486994288	891.534767893736	1.10917967501768	0.762801685019357
cCluster_21518	0	439.374112784963	10.9385463600413	5.097818586194e-13
cCluster_2152	173370.318597378	56359.5615427344	-1.62111753836571	4.05181322154219e-10
cCluster_21523	3371.15135670211	568.572388089948	-2.56884447812007	4.38171554133636e-19
cCluster_21524	11431.530767233	8687.59551524604	-0.396049348769267	0.00835148769506974
cCluster_21527	2664.32053148851	4569.46774876896	0.778542425859661	1.37927298943997e-22
cCluster_21529	4.87312888696469	650.847375586661	7.06418643490766	1.80728884341251e-33
cCluster_2153	8606.26293933425	1928.24603536401	-2.15811009193408	0.0642204405921533
cCluster_21531	19953.5980981916	9903.32886977952	-1.01050854919456	5.24605055104964e-104
cCluster_21533	6345.50740188719	7456.41393062649	0.232691348562479	0.000635438261290877
cCluster_21537	6287.31438506066	2338.52419725559	-1.42684781581136	7.36272122495014e-98
cCluster_21540	811.133362084495	669.205086744756	-0.276502839548962	0.22138342001427
