""	"PromoterCounts_BamGal4_1.txt"	"PromoterCounts_BamGal4_2.txt"	"PromoterCounts_KmgKD_1.txt"	"PromoterCounts_KmgKD_2.txt"
"cCluster_10216"	0	0	907.420057171242	765.071312497378
"cCluster_10217"	1.11190035808017	1.99729043458967	2239.53624860706	2479.2992463406
"cCluster_10218"	358.031915301814	274.627434756079	994.882231356422	1030.0264680076
"cCluster_10219"	11696.0798666453	10587.6365937598	18377.9893506609	17881.8128046154
"cCluster_1022"	326.89870527557	305.585436492219	594.574587970406	715.059696798662
"cCluster_10221"	205.701566244831	178.757493895775	3895.43068101686	3946.66133247952
"cCluster_10224"	22587.1438740405	21076.4073110075	6397.35345217946	6846.27096607529
"cCluster_10226"	1642.27682888441	1370.14123812851	2935.86971231215	2730.42140176394
"cCluster_10233"	2177.10090112097	1928.38391459632	2236.17231883071	2038.77139742
"cCluster_10234"	353.584313869494	341.536664314833	840.982444088269	1091.74292993367
"cCluster_10239"	105.630534017616	50.9309060820365	3295.81019838193	3835.99733178449
"cCluster_1024"	3309.01546564658	3294.53057185566	3699.48177154429	3717.88479258114
"cCluster_10240"	17.7904057292827	0	1433.03408472641	1274.76416185238
"cCluster_10242"	12821.3230290224	11623.2316840946	2930.82381764762	2580.38655466779
"cCluster_10243"	141.211345476181	870.818629481095	376.760134951544	396.900694800448
"cCluster_10244"	128.9804415373	187.745300851429	732.495708800882	828.915928282973
"cCluster_10245"	2958.76685285133	3549.18510226584	3849.17664659201	3958.36617870688
"cCluster_10248"	1908.02101446557	1882.44623460076	1193.35408816125	1286.46900807974
"cCluster_1025"	2626.30864578536	2805.19441538119	4691.84105556845	4875.60049215993
"cCluster_10250"	68.9378222009705	76.8956817317022	777.908760781649	799.121774249695
"cCluster_10251"	451.431545380548	433.412024305958	948.628196931567	1034.28277572664
"cCluster_10252"	33.3570107424051	62.9146486895745	1902.30228852766	2035.57916663072
"cCluster_10255"	763.875546001076	794.921592966688	214.450523242509	214.943539811503
"cCluster_10257"	1164.15967490994	1167.41625901766	1734.9467821541	1718.48424156226
"cCluster_10258"	0	27.9620660842553	689.60560415238	756.558697059299
"cCluster_10259"	2208.23411114722	2188.03167109298	3996.34857430745	4239.2824881635
"cCluster_10260"	322.451103843249	473.357832997751	4816.30645729351	5227.80995591046
"cCluster_10263"	5532.81618180692	6110.71008462709	5185.49775024826	6296.14319338941
"cCluster_10264"	15.5666050131224	0	2577.61119113054	3320.98409778069
"cCluster_10265"	170.120754786266	0.998645217294834	1365.75548919935	1540.78339429236
"cCluster_10266"	12.2309039388819	0	2126.00361865514	2738.93401720202
"cCluster_10267"	247.953779851878	169.769686940122	2316.06565101909	1958.965627688
"cCluster_10268"	29773.3558883127	26958.427640874	8113.79862056362	7723.07035619746
"cCluster_10269"	0	0	1521.33724135568	1612.07654858627
"cCluster_1027"	16439.4467942153	16339.8330453781	7307.29645668297	7525.15204726211
"cCluster_10271"	4601.04368173574	4932.30872821918	6839.71021776989	6759.01665783497
"cCluster_10272"	3850.51094003162	3675.01439964499	2105.82003999702	2110.06455171391
"cCluster_10274"	88.9520286464135	99.8645217294834	1056.27394977487	1355.63400851413
"cCluster_10276"	199.03016409635	175.761558243891	294.343855430894	253.25030928286
"cCluster_10277"	5960.89781966778	4897.35614561386	6775.79555201918	7082.49604448199
"cCluster_10278"	812.799161756603	1564.877055501	1029.36251156404	659.727696451147
"cCluster_10279"	134.5399433277	49.9322608647417	1536.47492534927	1800.41816515377
"cCluster_1028"	0	0	3209.18900664083	3428.45586768644
"cCluster_10280"	9326.62020357645	7806.40966359371	6103.00959674857	5843.91049824145
"cCluster_10281"	66.7140214848101	62.9146486895745	5167.83711892241	4781.96172234105
"cCluster_10282"	0	0	605.507359743553	527.782157160917
"cCluster_10289"	11062.2966625396	10494.7625885514	12261.524034807	12943.4317735996
"cCluster_1029"	0	0	703.902305701881	486.283156900281
"cCluster_10290"	970.689012603987	1127.47045032587	608.871289519907	905.529467225687
"cCluster_10291"	1701.20754786266	1771.59661548103	1037.77233600492	948.092544416083
"cCluster_10293"	17.7904057292827	61.9160034722797	391.897818945133	904.465390295927
"cCluster_10294"	0	0	1726.53695771322	2069.62962838303
"cCluster_10295"	452.543445738629	255.653175627477	329.665118082601	102.151385256952
"cCluster_10298"	7689.90287648245	7109.35530192192	14219.3311646444	14936.4478630399
"cCluster_10299"	582.635787634008	584.207452117478	2613.77343622634	1806.80262673233
"cCluster_10302"	4233.0046632112	4241.24623785116	3283.1954617206	3465.69856022804
"cCluster_10303"	68.9378222009705	74.8983912971125	524.77304511108	534.166618739477
"cCluster_10305"	4543.22486311557	4357.08908305736	3320.19868926048	2952.81348008376
"cCluster_10308"	1491.05838018551	1509.95156854979	1081.50342309751	1199.21469983942
"cCluster_10309"	1258.67120534675	1190.38509901544	2284.94930058783	2538.88755440715
"cCluster_1031"	5454.98315674131	5562.45386033222	2877.84192367006	2875.13586421129
"cCluster_10310"	54.4831175459283	67.9078747760487	771.180901228942	566.088926632274
"cCluster_10311"	133.42804296962	178.757493895775	1046.18216044581	1132.17785326455
"cCluster_10314"	8901.87426678983	8701.19577828989	4679.22631890713	4542.54441314507
"cCluster_1032"	133.42804296962	129.823878248328	983.949459583274	916.170236523286
"cCluster_10321"	44039.0374824812	40275.3616135006	27636.3650776287	27371.2508642143
"cCluster_10327"	857.27517607981	788.929721662919	2089.00039111526	1944.06855067136
"cCluster_10328"	257.960883074599	286.611177363617	810.707076101091	1123.66523782647
"cCluster_10329"	5081.38463642637	5426.63811078013	4886.10800015284	4573.40264410811
"cCluster_1033"	3645.92127414487	3595.1227822614	3875.24710235874	3870.04779353681
"cCluster_10330"	65.60212112673	133.818459117508	845.18735630871	805.506235828255
"cCluster_10332"	31.1332100262447	36.9498730399088	2406.89175498063	2449.50509230732
