""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cCluster_10520"	2745.79256030217	5.89155287668551	0.153643234755974	38.3456706443524	0	0
"cCluster_10934"	9928.43544688682	-2.44047271215299	0.0593403170742772	-41.1267218053151	0	0
"cCluster_11165"	3074.79501898673	5.2573812824869	0.12783503897377	41.1262931094004	0	0
"cCluster_11171"	21987.1311438271	-3.00945094093944	0.0735511018970427	-40.9164630212079	0	0
"cCluster_11305"	21475.9689925917	-2.561874557191	0.0609283851436201	-42.0473076900391	0	0
"cCluster_11359"	13941.5389476647	-2.38492832286476	0.0593149979249549	-40.2078463508025	0	0
"cCluster_11524"	4406.21457904346	3.98346886134961	0.0993920225568221	40.0783559774355	0	0
"cCluster_11897"	18186.73696214	4.17402847728021	0.0877034699657493	47.5925123476903	0	0
"cCluster_11941"	10194.5275648968	-3.84742890139629	0.0599952890545146	-64.1288501485563	0	0
"cCluster_11979"	15745.3381717845	-2.75186253802872	0.065183842338298	-42.2169427163684	0	0
"cCluster_12320"	8394.89166008504	-3.55241854849574	0.0725061655292087	-48.9947099335251	0	0
"cCluster_1242"	12495.3922655442	-2.57828725850387	0.0649529824727794	-39.6946708272307	0	0
"cCluster_12624"	10562.4619948222	-2.23755535337523	0.0510063373178588	-43.8681832696856	0	0
"cCluster_12670"	4405.98301194197	6.41820407272562	0.158884865751432	40.3953141941574	0	0
"cCluster_12735"	4938.83596192343	7.29530122975391	0.190372794922231	38.3211331888787	0	0
"cCluster_12827"	5200.38103841924	-3.21612484724575	0.0821920102181916	-39.1294097651103	0	0
"cCluster_12916"	8359.55695310561	-3.0372792189914	0.064910788095773	-46.7915936332499	0	0
"cCluster_13338"	4044.94427478978	5.8665372917039	0.152297298877319	38.5202977002868	0	0
"cCluster_13796"	23095.1091418688	-2.1157831625656	0.0537852481430805	-39.3376108805365	0	0
"cCluster_13913"	9009.70784011673	-8.78050452080535	0.200124560533241	-43.875197014346	0	0
"cCluster_13916"	3922.29350157818	4.41985465744066	0.0979057812509219	45.1439598455688	0	0
"cCluster_1402"	10839.3834267238	-3.42374243054304	0.0758796104992987	-45.1207169885866	0	0
"cCluster_14597"	35118.5421558072	-1.83330926751024	0.0373158248069059	-49.1295389287751	0	0
"cCluster_14919"	4815.6613430967	3.72549920456588	0.0970351137118859	38.3933100303003	0	0
"cCluster_15239"	19662.0457283171	-3.03037366557102	0.0739176875699759	-40.9965972312411	0	0
"cCluster_15274"	15126.0909040599	-4.49542076859089	0.0986448437842115	-45.5717764470767	0	0
"cCluster_15603"	31381.9773503443	-3.83510149740027	0.0590857114267946	-64.907426936068	0	0
"cCluster_15750"	11275.5229539256	-3.81555157547593	0.0893028318522745	-42.7259863582786	0	0
"cCluster_1576"	4067.07041832158	5.67776315383521	0.128705691997022	44.1143127839799	0	0
"cCluster_16642"	42006.6754642618	-2.60940360503651	0.0463912820993219	-56.2477148066286	0	0
"cCluster_17138"	6729.8629935872	-6.14048607929657	0.142751160859006	-43.0153144979428	0	0
"cCluster_17198"	17719.349357365	-2.26962920180529	0.0579548393024833	-39.1620308005589	0	0
"cCluster_17688"	9316.32515937291	2.39522634251575	0.0610875729008782	39.2097153115296	0	0
"cCluster_18013"	4641.48698087864	3.98399695315446	0.102033080581218	39.0461302399198	0	0
"cCluster_18698"	3524.05944030989	4.21964333619463	0.105627960674189	39.9481662739868	0	0
"cCluster_18724"	3906.07491035293	5.49147356222576	0.139363561996696	39.4039409121585	0	0
"cCluster_190"	30069.8225658618	-7.66185534270926	0.153605658488323	-49.8800331844005	0	0
"cCluster_19103"	3724.83261810178	5.58067131390239	0.135013702701282	41.334110555057	0	0
"cCluster_192"	4444.75842647905	-5.47577141059192	0.113317296471301	-48.3224678059515	0	0
"cCluster_19395"	4391.26597682784	4.14538084262164	0.0937447263531667	44.2198831217946	0	0
"cCluster_19646"	14042.1339417165	-3.72901248459571	0.0691089584834023	-53.958452947765	0	0
"cCluster_197"	9201.1907047664	-3.43498154156558	0.067079451268609	-51.2076571379623	0	0
"cCluster_19834"	11212.5391114624	-3.02098550490375	0.0625515873256732	-48.2959047733684	0	0
"cCluster_20312"	15447.5847830308	-4.08928417911019	0.0716113053415595	-57.1038910630914	0	0
"cCluster_20468"	39225.8779211519	-1.98856267683883	0.0492420160929736	-40.3834536970265	0	0
"cCluster_20654"	6738.99375909482	-4.46685978998565	0.104612989906575	-42.698901866535	0	0
"cCluster_20673"	10667.0419730238	-3.37858153191886	0.057687730116741	-58.5667268426357	0	0
"cCluster_20716"	25236.4330400395	-4.40581188166612	0.0905428551110097	-48.6599619181922	0	0
"cCluster_21055"	14117.7466903874	9.75463209178882	0.209224308857748	46.6228429432691	0	0
"cCluster_21062"	13242.7570086527	5.72855298822043	0.143112136046154	40.0284220925397	0	0
"cCluster_21557"	2860.26008583335	6.11170807584487	0.15116896241406	40.429648905736	0	0
"cCluster_21817"	4929.4941933904	-5.37305674539708	0.132865895842804	-40.4396983237446	0	0
"cCluster_21957"	14601.9155596964	-4.36141287266815	0.0927797107620032	-47.008261147267	0	0
"cCluster_21992"	6917.79096634383	6.25030621931796	0.109277769601759	57.1965024734304	0	0
"cCluster_22038"	3241.33712822791	5.91374791852181	0.137846563792909	42.9009454846203	0	0
"cCluster_22235"	19917.1787347629	-8.9894448339749	0.156824304539351	-57.321758004157	0	0
"cCluster_22708"	18660.5918382181	-4.13379302464551	0.0888552413163344	-46.5227820374574	0	0
"cCluster_22928"	10826.2263364846	-3.70721137290269	0.0641832498250749	-57.7597953205287	0	0
"cCluster_22930"	4820.0529989408	-3.42841119534396	0.0814343064648681	-42.1003302437778	0	0
"cCluster_22966"	4167.33094740382	-3.25567836170552	0.0791215921305277	-41.1477862621191	0	0
